"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"dur (µs)";"duration (µs) per op";"ops per ms"
insert;rollback_reorder_lazy;7444;6462,976;0,868212788823213;1151,79137289076
insert;rollback_reorder_lazy;7444;6582,784;0,88430736163353;1130,82853698374
insert;rollback_reorder_lazy;7444;6278,656;0,843451907576572;1185,60405284188
insert;rollback_reorder_lazy;7444;6489,344;0,871754970445997;1147,11132589057
insert;rollback_reorder_lazy;7444;6840,064;0,918869425040301;1088,29391070025
insert;rollback_reorder_lazy;7444;6439,168;0,865014508328855;1156,04997415815
insert;rollback_reorder_lazy;7444;6912,768;0,928636217087587;1076,84794282117
insert;rollback_reorder_lazy;7444;6614,784;0,88860612573885;1125,35798599017
insert;rollback_reorder_lazy;7444;6935,808;0,931731327243418;1073,27077104787
insert;rollback_reorder_lazy;7444;6534,4;0,877807630306287;1139,20176297747
insert;rollback_reorder_lazy;17164;22490,624;1,31033698438592;763,162462722244
insert;rollback_reorder_lazy;17164;23206,144;1,35202423677464;739,631711326104
insert;rollback_reorder_lazy;17164;23172,608;1,35007037986483;740,702125544091
insert;rollback_reorder_lazy;17164;23049,216;1,34288137963179;744,667410813452
insert;rollback_reorder_lazy;17164;23230,464;1,35344115590771;738,857390020277
insert;rollback_reorder_lazy;17164;23189,76;1,3510696807271;740,154274990341
insert;rollback_reorder_lazy;17164;23561,216;1,37271125611746;728,485320961363
insert;rollback_reorder_lazy;17164;23648,0;1,37776742018178;725,811907983762
insert;rollback_reorder_lazy;17164;22796,8;1,32817525052435;752,912689500281
insert;rollback_reorder_lazy;17164;23132,928;1,34775856443719;741,972654737005
insert;rollback_reorder_lazy;39786;59923,968;1,50615714070276;663,941346474252
insert;rollback_reorder_lazy;39786;60392,96;1,51794500578093;658,78539485397
insert;rollback_reorder_lazy;39786;60911,36;1,53097471472377;653,178651732616
insert;rollback_reorder_lazy;39786;61314,816;1,5411153672146;648,88068815211
insert;rollback_reorder_lazy;39786;60994,304;1,53305946815463;652,290417151084
insert;rollback_reorder_lazy;39786;60434,176;1,51898094807219;658,336104392323
insert;rollback_reorder_lazy;39786;60603,904;1,52324697129644;656,492360624161
insert;rollback_reorder_lazy;39786;60556,032;1,52204373397678;657,011344468541
insert;rollback_reorder_lazy;39786;60562,432;1,52220459458101;656,94191408958
insert;rollback_reorder_lazy;39786;60716,288;1,52607168350676;655,277213257833
